track,artist,year,month,streams,date
Nosso Quadro,"Ana Castela, AgroPlay",2023,2,118482347,2023-02
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",2023,4,117747907,2023-04
PRC,"Natanael Cano, Peso Pluma",2023,1,117206995,2023-01
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",2023,6,116599790,2023-06
ýýýýýýýýýýýý,YOASOBI,2023,4,116334601,2023-04
Fin de Semana,"Oscar Maydon, Junior H",2023,1,115364561,2023-01
Cheques,Shubh,2023,5,115010040,2023-05
Better Than Revenge (Taylor's Version),Taylor Swift,2023,7,113509496,2023-07
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",2023,6,111947664,2023-06
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",2023,6,109276132,2023-06
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",2023,5,107753850,2023-05
Acrï¿½ï¿½s,Shakira,2023,5,107642809,2023-05
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",2023,5,105062254,2023-05
S-Class,Stray Kids,2023,6,104992946,2023-06
Hits Different,Taylor Swift,2023,5,103787664,2023-05
Chanel,"Becky G, Peso Pluma",2023,3,100409613,2023-03
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2023,6,96273746,2023-06
Area Codes,"Kaliii, Kaliii",2023,3,96180277,2023-03
Abcdario,"Junior H, Eden Muï¿½ï",2023,5,95816024,2023-05
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2023,6,95623148,2023-06
FLOWER,JISOO,2023,3,95217315,2023-03
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",2023,6,95131998,2023-06
Eyes Closed,Ed Sheeran,2023,3,95053634,2023-03
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2023,5,94186466,2023-05
Las Morras,"BLESSD, Peso Pluma",2023,4,93438910,2023-04
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2023,5,92035115,2023-05
Bite Me,ENHYPEN,2023,5,91221625,2023-05
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2023,5,90839753,2023-05
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2023,6,90025258,2023-06
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2023,3,89933133,2023-03
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2023,6,88791109,2023-06
69,"Nicky Jam, Feid",2023,5,86773632,2023-05
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2023,4,86444842,2023-04
Search & Rescue,Drake,2023,4,83021468,2023-04
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2023,5,81419389,2023-05
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",2023,6,81102253,2023-06
Erro Gostoso - Ao Vivo,Simone Mendes,2023,1,80758350,2023-01
Cupido,Tini,2023,2,78300654,2023-02
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2023,5,77377503,2023-05
Danger (Spider) (Offset & JID),"Offset, JID",2023,6,77233241,2023-06
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,2023,2,76910644,2023-02
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",2023,5,76767396,2023-05
Curtains,Ed Sheeran,2023,5,71573339,2023-05
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2023,5,70106975,2023-05
Haegeum,Agust D,2023,4,68616963,2023-04
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2023,4,68216992,2023-04
MIENTRAS ME CURO DEL CORA,Karol G,2023,2,67070410,2023-02
Never Felt So Alone,Labrinth,2023,4,66902503,2023-04
X SI VOLVEMOS,"Karol G, Romeo Santos",2023,2,65496046,2023-02
Cupid,Fifty Fifty,2023,2,65156199,2023-02
I AM,IVE,2023,4,64533040,2023-04
